0	-2
11	-2
13	15
-1	6
10	1
17	-9
10	17
23	1
24	19
2	23
13	14
17	-2
19	0
9	11
0	18
23	19
21	22
11	6
17	-2
23	13
8	1
20	0
17	14
2	20
9	21
20	4
7	-7
11	20
16	8
12	-6
15	-3
16	22
8	21
10	10
19	15
2	11
0	20
24	-5
16	-9
3	-10
24	7
1	-2
16	22
0	-2
11	16
5	15
17	-6
11	9
15	-1
18	0
22	21
6	-8
10	1
5	14
6	5
20	-6
10	22
2	7
23	10
15	4
5	18
3	1
2	6
12	12
11	6
6	8
22	21
5	23
9	0
0	-4
22	2
2	5
0	17
0	11
24	12
15	21
9	1
5	16
12	12
16	-7
4	-4
8	-9
4	5
16	11
14	-10
19	6
9	19
5	14
12	3
14	2
15	-7
-1	24
11	15
4	3
23	-8
0	8
8	10
17	6
23	18
18	9
